Symbol,Exchange,MarketCap,Price,AvgVol90d,Sector
MEOH,NASDAQ,4114231736.512787,53.18,1290053.8777777778,Process industries
MHD,NYSE,2049231000.0000002,11.73,423661.9666666667,Miscellaneous
MLKN,NASDAQ,1128183094,16.5,807146.2555555556,Producer manufacturing
MLYS,NASDAQ,2171343234,24.63,1428486.088888889,Health technology
MNR,NYSE,2076681473.0000002,12.45,638662.8222222222,Energy minerals
MRTN,NASDAQ,1374776943,16.85,815556.0777777778,Transportation
MT,NYSE,47606860594.91628,63.41,2007508.611111111,Non-energy minerals
MTG,NYSE,5511436190.000001,26.06,1994122.5,Finance
NCLH,NYSE,9384211465,20.44,23173670.122222222,Consumer services
NKE,NYSE,66936105624.00001,45.2,21054293.033333335,Consumer non-durables
NMFC,NASDAQ,676279116.0000001,7.16,974077.4,Miscellaneous
NN,NASDAQ,2480423527.9999995,18.18,2199025.2555555557,Technology services
NTNX,NASDAQ,12678031656,46.9,4352057.911111111,Technology services
NXE,NYSE,7049069485.970746,10.65,7096593.977777778,Non-energy minerals
OLPX,NASDAQ,1377839827,2.05,4680374.088888889,Distribution services
OMC,NYSE,20335191583,71.35,4938575.411111111,Commercial services
OPLN,NYSE,4033368221,38.07,964200.4444444403,Technology services
OTEX,NASDAQ,5020684015.483407,20.69,2384491.777777778,Technology services
OTIS,NYSE,28114874754,73.27,3875457.611111111,Industrial services
OXM,NYSE,543336608,36.39,375262.52222222224,Consumer non-durables
OXY,NYSE,51541970088.00001,51.82,15211734.133333333,Energy minerals
PDFS,NASDAQ,2691686409.9999995,65.36,592916.9777777778,Technology services
PFS,NYSE,2960726952,22.72,953263.6777777778,Finance
PL,NYSE,10061242918,28.23,13442846.622222222,Technology services
PLGO,NYSE,1961295663,22.94,450542.2444444444,Finance
PMT,NYSE,893824211,10.25,1082123.1444444444,Finance
POR,NYSE,5807331986.999999,50.18,1386034.3111111112,Utilities
POWI,NASDAQ,4853768011,87.11,1100930.0111111111,Electronic technology
PRA,NYSE,1272130452.0000002,24.65,848415.1,Finance
PRGS,NASDAQ,1248893141.9999998,29.68,962508.0666666667,Technology services
PZZA,NASDAQ,1199936552,36.47,1284284.7444444445,Consumer services
RARE,NASDAQ,2702544450,27.44,1939324.9333333333,Health technology
ROOT,NASDAQ,822809134,51.99,322268.31111111067,Finance
SATA,NASDAQ,1177349746,97.71,310404.02222222224,Miscellaneous
SD,NYSE,517594003.00000006,14.02,387631.6,Energy minerals
SFBS,NYSE,4398170666,80.46,296072.94444444444,Finance
SGML,NASDAQ,1520650623.6939719,13.65,3709226.311111111,Non-energy minerals
SHEL,NYSE,217114780205.5985,78.81,7575751.633333334,Energy minerals
SHG,NYSE,30156264140.625,66.65,296172.52222222224,Finance
SKYW,NASDAQ,3673731825,92.63,380602.3222222222,Transportation
SLDB,NASDAQ,820085226,8.33,1453668.611111111,Health technology
SLM,NASDAQ,4343061880,23.03,3594750.1888888995,Finance
SMFG,NYSE,159110109003.375,25.23,2222628.4777777777,Finance
SNY,NASDAQ,101330154968.78387,42.38,3417664.2333333334,Health technology
SO,NYSE,104940459689.00002,93.09,5993401.722222222,Utilities
SOUN,NASDAQ,3081319719,7.12,27465169.466666665,Technology services
