nr,tf,bar_start_dk,bar_start_et,close,atr,vwap,vwap_dist_atr,z,adx,cmf,rvol,rsi,stoch_k,wt1,wt2,wt_diff,macd_line,macd_hist,dot_type
1,15m,2024-06-28 16:00:00+02:00,2024-06-28 10:00:00-04:00,5584.0,6.000779337259809,5563.3703438176235,3.4378294922933796,4.076702841290527,24.86492868889248,0.5041658018586501,8.082196170930091,72.90731384741409,68.83203891066864,-5.787811824094202,-32.181885357884546,26.394073533790344,1.2991455251876687,0.8196582189709105,ingen
2,15m,2024-09-17 20:30:00+02:00,2024-09-17 14:30:00-04:00,5636.5,10.339862441765233,5650.054826371267,-1.3109290812724834,-1.1518383161248358,36.844244646715985,-0.042459093890912215,0.536308232620597,42.29986588680207,49.27445884308762,-46.48372005578041,-52.08830234098722,5.60458228520681,-6.246336183564381,-1.5704364555330654,ingen
3,15m,2024-12-06 15:00:00+01:00,2024-12-06 09:00:00-05:00,6099.0,4.367075644604382,6087.518272543956,2.6291569898107046,3.253563093402485,21.91308476721873,0.2579197768756116,2.1574036388851203,71.9034889991233,98.70325534235492,59.12022517183963,42.71801080649194,16.40221436534769,2.1391405244894486,1.6996146580700238,ingen
4,15m,2025-02-28 19:00:00+01:00,2025-02-28 13:00:00-05:00,5864.75,14.955461912348651,5886.967494588568,-1.4855772906768756,-2.402414663130309,18.136588252181784,0.16333182062467544,0.8181806819460083,38.64143924053902,5.063107491895846,-47.45606344134035,-30.69064961278799,-16.765413828552358,-3.8487315451584436,-3.8970748817731358,ingen
5,15m,2025-05-20 21:45:00+02:00,2025-05-20 15:45:00-04:00,5959.5,9.580000983931093,5957.8722129149055,0.1699151271304509,0.13570367393435026,26.431835811709664,0.16194228189594462,2.109094417702113,53.14057619865307,55.73940319417229,-37.19592429789398,-52.72925392505416,15.533329627160178,-4.329167426307322,-0.3402269500346309,ingen
6,15m,2025-08-11 15:15:00+02:00,2025-08-11 09:15:00-04:00,6416.25,3.81203864028338,6420.402677790863,-1.0893587874424795,-0.9231507427471148,13.998608660843168,0.07222163650857698,3.172103046331668,41.331063375256726,2.7697349780811504,-18.152588979623427,-6.201814786492115,-11.950774193131313,-0.4219743867533907,-0.4423024146288415,ingen
7,15m,2025-10-28 21:00:00+01:00,2025-10-28 16:00:00-04:00,6924.0,6.454210538182359,6919.6724311357175,0.6705032069656107,0.11959366700649451,31.143610276624685,0.028576392592220567,0.8500878562816615,48.67592470069297,0.0,18.973692916888915,37.03045987898514,-18.056766962096226,4.404517481978473,-0.8748662970380288,ingen
8,15m,2026-01-20 21:15:00+01:00,2026-01-20 15:15:00-05:00,6830.25,11.387721635023105,6874.041335512697,-3.845487000491451,-1.7547301674232023,32.30840963005344,-0.10922339346209597,1.0896910991963724,28.01760327273746,4.636765056600868,-64.08270463592825,-65.73295040626589,1.6502457703376336,-13.330402688192407,-4.407266119477093,guld
9,15m,2026-04-10 19:45:00+02:00,2026-04-10 13:45:00-04:00,6856.75,9.015996921725764,6865.354171256673,-0.9543227810936368,-1.0847460330423586,29.4862198474516,0.07043100825130924,0.5761645392429975,45.3575323860164,24.485306955644564,-44.80878962695186,-49.219811759836794,4.411022132884938,-3.745007525588335,-1.7870911988006806,udvandet_groen
10,15m,2026-06-30 21:45:00+02:00,2026-06-30 15:45:00-04:00,7544.75,8.414091201923375,7527.79380033823,2.0152146268505335,0.2736699508679635,29.977577720498882,-0.03520574630045275,4.404973975408647,50.60730069862937,11.974225872702133,31.470484848523512,45.29188386841679,-13.821399019893278,8.851910579777723,-1.7002768406727267,alm_roed
1,5m,2024-06-28 16:10:00+02:00,2024-06-28 10:10:00-04:00,5584.0,4.525435187769495,5563.289899906001,4.576377571370518,2.900934874334918,38.897824873946306,0.4572582903520826,1.796791322630186,81.43591128579564,100.0,59.89094046914802,46.76128224687761,13.129658222270407,3.356401669967454,3.160633264628704,ingen
2,5m,2024-09-17 20:40:00+02:00,2024-09-17 14:40:00-04:00,5636.5,6.504348000500357,5650.211560838829,-2.108060767624156,0.1992015660347339,37.324110404369335,0.19511272711328873,0.7814802221466621,47.86727650342013,83.26264560223986,11.867445078896456,8.490335050169195,3.3771100287272606,-1.8780828859316898,1.1246481233149135,udvandet_groen
3,5m,2024-12-06 15:10:00+01:00,2024-12-06 09:10:00-05:00,6099.0,3.521434970561398,6088.142187019379,3.0833489959038016,1.897081967079633,35.40121648862177,0.28635232615004336,0.6686013211653747,70.02477856245898,68.89169039244857,58.640090954211416,57.4451222214389,1.1949687327725158,3.762921314852065,1.0223659538098042,ingen
4,5m,2025-02-28 19:10:00+01:00,2025-02-28 13:10:00-05:00,5864.75,10.792420416790092,5886.718734990212,-2.0355707192461643,-1.775185184523639,31.029798994626788,-0.14916545271432774,0.627072123484972,36.668707359820594,16.441981884785214,-73.34743278648112,-75.49738727424885,2.1499544877677295,-8.648903886510197,-3.3085777861915613,ingen
